Alabama,Marshall,Solar,8,"$243,566.00"
Alabama,Mobile,Energy Efficiency,1,"$165,803.00"
Alabama,Mobile,Renewable Biomass,19,"$1,099,553.63"
Alabama,Monroe,Energy Efficiency,9,"$370,576.60"
Alabama,Monroe,Renewable Biomass,55,"$3,368,860.00"
Alabama,Monroe,Solar,2,"$18,605.00"
Alabama,Montgomery,Energy Efficiency,1,$647.40
Alabama,Montgomery,Renewable Biomass,16,"$475,799.00"
Alabama,Morgan,Energy Efficiency,2,"$51,526.00"
Alabama,Morgan,Renewable Biomass,7,"$73,101.00"
Alabama,Morgan,Solar,2,"$110,575.00"
Alabama,Perry,Energy Efficiency,4,"$175,621.00"
Alabama,Perry,Geothermal,1,"$3,875.00"
Alabama,Perry,Renewable Biomass,1,"$74,880.00"
Alabama,Pickens,Energy Efficiency,9,"$221,720.75"
Alabama,Pickens,Renewable Biomass,4,"$34,291.94"
Alabama,Pike,Energy Efficiency,21,"$645,295.57"
Alabama,Pike,Renewable Biomass,15,"$716,411.00"
Alabama,Randolph,Energy Efficiency,3,"$101,265.48"
Alabama,Randolph,Renewable Biomass,3,"$42,621.00"
Alabama,Russell,Renewable Biomass,1,"$142,300.00"
Alabama,Russell,Solar,1,"$2,619.00"
Alabama,Shelby,Energy Efficiency,2,"$214,204.00"
Alabama,Shelby,Renewable Biomass,2,"$26,784.00"
Alabama,St. Clair,Energy Efficiency,2,"$39,917.00"
Alabama,St. Clair,Renewable Biomass,2,"$34,167.00"
Alabama,Sumter,Energy Efficiency,1,"$20,000.00"
Alabama,Sumter,Renewable Biomass,5,"$134,140.00"
Alabama,Talladega,Energy Efficiency,1,$11.88
Alabama,Talladega,Renewable Biomass,4,"$67,782.00"
Alabama,Tallapoosa,Energy Efficiency,4,"$2,351.17"
Alabama,Tallapoosa,Renewable Biomass,7,"$244,889.00"
Alabama,Tuscaloosa,Energy Efficiency,4,"$700,091.00"
Alabama,Tuscaloosa,Renewable Biomass,31,"$1,893,058.64"
Alabama,Tuscaloosa,Solar,1,"$45,838.00"
Alabama,Walker,Energy Efficiency,4,"$177,704.52"
Alabama,Walker,Renewable Biomass,7,"$474,487.00"
Alabama,Washington,Energy Efficiency,9,"$229,779.31"
Alabama,Washington,Renewable Biomass,4,"$501,755.00"
Alabama,Wilcox,Renewable Biomass,25,"$1,213,931.00"
Alabama,Wilcox,Solar,1,"$10,727.00"
Alabama,Winston,Energy Efficiency,1,"$16,473.45"
Alabama,Winston,Renewable Biomass,3,"$135,914.00"
Alaska,Aleutians West,Hydroelectric,1,"$390,000.00"
Alaska,Anchorage,Energy Efficiency,8,"$3,585,813.80"
Alaska,Anchorage,Hydrogen,1,"$443,779.00"
Alaska,Anchorage,Renewable Biomass,2,"$322,500.00"
Alaska,Anchorage,Solar,3,"$697,805.00"
Alaska,Anchorage,Wind,5,"$7,050,004.00"
Alaska,Bethel,Energy Efficiency,2,"$877,500.60"
Alaska,Bethel,Wind,6,"$9,727,368.50"
Alaska,Bristol Bay,Energy Efficiency,1,"$2,618,387.00"
Alaska,Bristol Bay,Wind,3,"$2,689,576.00"
Alaska,Dillingham,Energy Efficiency,1,"$1,100,000.00"
Alaska,Dillingham,Other,1,"$3,000,000.00"
Alaska,Dillingham,Wind,2,"$2,228,903.00"
Alaska,Fairbanks North Star,Energy Efficiency,7,"$1,820,818.44"
Alaska,Fairbanks North Star,Other,1,"$3,177.00"
Alaska,Fairbanks North Star,Renewable Biomass,9,"$270,939.85"
Alaska,Fairbanks North Star,Solar,9,"$374,613.08"
Alaska,Haines,Energy Efficiency,1,"$48,750.00"
Alaska,Haines,Renewable Biomass,2,"$285,000.00"
Alaska,Haines,Solar,1,"$4,677.00"
Alaska,Hoonah-Angoon,Hydroelectric,1,"$1,500,000.00"
Alaska,Juneau,Energy Efficiency,4,"$1,867,406.99"
Alaska,Juneau,Hydroelectric,1,"$3,000,000.00"
Alaska,Juneau,Other,1,"$60,437.00"
